name,vr,teff,logg,feh,teffm,loggm,fehm,ca4227,g4300,hgama,hgamf,fe4383,ca4455,fe4531,fe4668,hbeta,fe5015,mg1,mg2,mgb,fe5270,fe5335,fe5406,fe5709,fe5782,nad,tio1,tio2,sp_type,spec,q_sp_type,q_logg,q_feh,q_vr,logg_m,feh_m
HD000245,-93.73,5433,3.5,-0.76,5772,4.15,-0.59,0.5608,4.4731,-2.077,0.3289,1.7815,0.3929,1.9015,1.0108,2.4979,2.6198,0.0165,0.0923,2.2939,1.1489,1.0331,0.5252,0.2933,0.0876,1.5467,0.0103,0.0044,G0,G,D,1,3,0,4.15,-0.59
HD000358,-33.9,14007,3.77,-0.47,11602,4.13,0.24,-0.116,-1.66,8.2563,6.2091,-0.9395,0.1023,0.1595,-0.6934,6.1152,0.2671,0.0135,0.0167,0.118,-0.3254,0.1584,-0.0945,-0.0527,0.086,0.228,0.0034,-0.0036,B8IV-VHgMn,B,C,1,1,0,4.13,0.24
HD000400,-15.13,6146,4.09,-0.28,6032,3.96,-0.31,0.4514,3.0094,0.739,2.0542,1.2299,0.3945,1.9786,1.1642,3.402,2.9562,0.0116,0.0642,1.3677,1.1374,0.9645,0.485,0.3397,0.1544,1.438,0.0118,0.0003,F8IV,F,D,1,4,0,3.96,-0.31
HD000693,14.79,6156,4.13,-0.42,6052,3.96,-0.39,0.3824,2.6166,1.1655,2.2524,0.8742,0.3124,1.768,0.7043,3.3406,2.6102,0.0082,0.0582,1.1925,1.0722,0.9172,0.4721,0.2751,0.0893,0.8005,0.0092,0.0036,F8VFe-0.8CH-0.5,F,C,1,3,0,3.96,-0.39
HD001227,-0.03,5063,2.65,0.25,4988,2.82,-0.06,0.3831,5.9731,-6.5683,-1.7936,4.5606,1.2021,3.2257,5.3601,1.7726,5.5829,0.0423,0.1304,2.2486,2.7991,2.1806,1.5711,0.9756,0.5842,1.8107,0.0104,0.0108,G8II-III,G,D,1,2,0,2.82,-0.06
HD001835,-2.46,5777,4.45,0.17,5790,4.36,0.18,0.8236,4.2815,-3.0644,0.1569,3.6407,0.873,2.8637,3.7989,2.7051,4.1405,0.0169,0.1298,2.9209,2.3676,1.9736,1.0865,0.7554,0.4638,1.5191,0.005,0.0055,G2.5V,G,B,1,4,0,4.36,0.18
HD002665,-382.34,5004,2.27,-1.96,4946,2.12,-2.08,0.2059,4.8133,-2.9676,-0.5887,0.7413,0.2027,0.8466,0.1013,1.2996,1.1098,0.0042,0.0273,0.6078,0.6881,0.5142,0.2778,0.1274,0.0354,0.4221,0.0015,0.0013,G5IIIw,G,C,1,3,0,2.12,-2.08
HD002665,-382.57,5004,2.27,-1.96,4932,2.07,-2.07,0.2405,5.04,-3.0915,-0.6136,0.7805,0.2347,1.0513,-0.0101,1.3767,1.5247,0.011,0.0353,0.5885,0.6481,0.5124,0.2556,0.1862,-0.0232,0.7126,0.0025,0.001,G5IIIw,G,C,1,3,0,2.07,-2.07
HD002796,-61.36,4920,1.39,-2.32,4744,1.49,-2.46,0.1835,1.7691,-0.5203,0.6848,0.4616,0.1966,0.9051,-0.2325,1.3064,1.2102,0.0046,0.0282,0.5535,0.5282,0.5303,0.2507,-0.0496,0.052,0.6596,0.0105,0.0022,Fw,F,E,1,4,0,1.49,-2.46
HD003268,-23.4,6130,4.01,-0.24,6059,3.88,-0.21,0.4561,2.967,0.8466,2.1685,1.3162,0.4325,2.0467,1.2421,3.4473,3.1774,0.011,0.0617,1.2448,1.1985,1.0102,0.5669,0.2576,0.1887,1.2081,0.0155,0.0024,F7V,F,C,1,2,0,3.88,-0.21
